Timestamp,Skin conductance,Event,Shock
2000-01-01 00:05:27.060,1.0532684326171875,0.0,0.0
2000-01-01 00:05:27.080,1.0527496337890625,0.0,0.0
2000-01-01 00:05:27.100,1.0523529052734375,0.0,0.0
2000-01-01 00:05:27.120,1.0518798828125,0.0,0.0
2000-01-01 00:05:27.140,1.0515289306640625,0.0,0.0
2000-01-01 00:05:27.160,1.0510711669921875,0.0,0.0
2000-01-01 00:05:27.180,1.0506744384765625,0.0,0.0
2000-01-01 00:05:27.200,1.0502777099609375,0.0,0.0
2000-01-01 00:05:27.220,1.04986572265625,0.0,0.0
2000-01-01 00:05:27.240,1.04925537109375,0.0,0.0
2000-01-01 00:05:27.260,1.0489349365234375,0.0,0.0
2000-01-01 00:05:27.280,1.048492431640625,0.0,0.0
2000-01-01 00:05:27.300,1.048004150390625,0.0,0.0
2000-01-01 00:05:27.320,1.0477447509765625,0.0,0.0
2000-01-01 00:05:27.340,1.0472259521484375,0.0,0.0
2000-01-01 00:05:27.360,1.0467529296875,0.0,0.0
2000-01-01 00:05:27.380,1.046417236328125,0.0,0.0
2000-01-01 00:05:27.400,1.0457763671875,0.0,0.0
2000-01-01 00:05:27.420,1.0453948974609375,0.0,0.0
2000-01-01 00:05:27.440,1.0450897216796875,0.0,0.0
2000-01-01 00:05:27.460,1.0444488525390625,0.0,0.0
2000-01-01 00:05:27.480,1.0441131591796875,0.0,0.0
2000-01-01 00:05:27.500,1.0437164306640625,0.0,0.0
2000-01-01 00:05:27.520,1.043212890625,0.0,0.0
2000-01-01 00:05:27.540,1.042755126953125,0.0,0.0
2000-01-01 00:05:27.560,1.042327880859375,0.0,0.0
2000-01-01 00:05:27.580,1.041839599609375,0.0,0.0
2000-01-01 00:05:27.600,1.041473388671875,0.0,0.0
2000-01-01 00:05:27.620,1.040985107421875,0.0,0.0
2000-01-01 00:05:27.640,1.04046630859375,0.0,0.0
2000-01-01 00:05:27.660,1.0400390625,0.0,0.0
2000-01-01 00:05:27.680,1.0397491455078125,0.0,0.0
2000-01-01 00:05:27.700,1.0391387939453125,0.0,0.0
2000-01-01 00:05:27.720,1.0387115478515625,0.0,0.0
2000-01-01 00:05:27.740,1.03826904296875,0.0,0.0
2000-01-01 00:05:27.760,1.0378265380859375,0.0,0.0
2000-01-01 00:05:27.780,1.0373687744140625,0.0,0.0
2000-01-01 00:05:27.800,1.0371246337890625,0.0,0.0
2000-01-01 00:05:27.820,1.036590576171875,0.0,0.0
2000-01-01 00:05:27.840,1.0359954833984375,0.0,0.0
2000-01-01 00:05:27.860,1.0358123779296875,0.0,0.0
2000-01-01 00:05:27.880,1.0352020263671875,0.0,0.0
2000-01-01 00:05:27.900,1.0348968505859375,0.0,0.0
2000-01-01 00:05:27.920,1.0342254638671875,0.0,0.0
2000-01-01 00:05:27.940,1.033935546875,0.0,0.0
2000-01-01 00:05:27.960,1.0335693359375,0.0,0.0
2000-01-01 00:05:27.980,1.033050537109375,0.0,0.0
2000-01-01 00:05:28.000,1.0325775146484375,0.0,0.0
